Simulation,Format,Player,Wins
73,FFA_Round0,[HypE]RupeDogg,6.0
73,FFA_Round0,TM_8D,3.0
73,FFA_Round0,Darth_Revan,10.0
73,FFA_Round0,Blodir,6.0
74,FFA_Round0,NapoleonBlownapart,4.0
74,FFA_Round0,PRO_BCTV,2.0
74,FFA_Round0,StarDoM,2.0
74,FFA_Round0,[Stud]Lovish,5.0
74,FFA_Round0,[HypE]RupeDogg,2.0
74,FFA_Round0,TM_8D,9.0
74,FFA_Round0,Darth_Revan,6.0
74,FFA_Round0,Blodir,2.0
75,FFA_Round0,NapoleonBlownapart,1.0
75,FFA_Round0,PRO_BCTV,9.0
75,FFA_Round0,StarDoM,6.0
75,FFA_Round0,[Stud]Lovish,2.0
75,FFA_Round0,[HypE]RupeDogg,2.0
75,FFA_Round0,TM_8D,2.0
75,FFA_Round0,Darth_Revan,2.0
75,FFA_Round0,Blodir,8.0
76,FFA_Round0,NapoleonBlownapart,2.0
76,FFA_Round0,PRO_BCTV,7.0
76,FFA_Round0,StarDoM,3.0
76,FFA_Round0,[Stud]Lovish,3.0
76,FFA_Round0,[HypE]RupeDogg,3.0
76,FFA_Round0,TM_8D,1.0
76,FFA_Round0,Darth_Revan,9.0
76,FFA_Round0,Blodir,4.0
77,FFA_Round0,NapoleonBlownapart,1.0
77,FFA_Round0,PRO_BCTV,2.0
77,FFA_Round0,StarDoM,4.0
77,FFA_Round0,[Stud]Lovish,2.0
77,FFA_Round0,[HypE]RupeDogg,3.0
77,FFA_Round0,TM_8D,5.0
